feature,source_level,computed_from,dimension,incremental_information,order_sensitive,paradigm,status,enters_primary_fdr,default_audit_or_test,recommended_use,main_risk,implemented_in_ssot
raw_signal_quality,raw/aligned signal,time series before WCC,measurement validity,whether downstream synchrony estimates are interpretable at all,True,all,required-qc,False,"QC gates: alignment, missingness, sampling uniformity, clock-offset warning",report before any synchrony result,bad alignment or preprocessing can create false lag/synchrony before feature extraction begins,False
wcc_trace,synchrony trace,aligned person_a/person_b signals,measurement substrate,time-local association rather than one full-session scalar,True,"all, with window-size justification",measurement-substrate,False,window-size sensitivity; signal-level null for derived descriptors,inspect and export; all WCC-derived descriptors depend on this trace,"window overlap, lag choice, nonstationarity, and shared task timing shape all downstream features",False
mean_synchrony,WCC distribution,all finite WCC values,intensity,reference average coupling level,False,all,reference,False,signal-level IAAFT as synchrony-existence audit; design controls for coupling interpretation,baseline comparator for average synchrony level,collapses all temporal structure into one scalar and is vulnerable to shared-stimulus elevation,True
peak_amplitude,WCC distribution,smoothed WCC trace maximum,intensity,strongest momentary synchrony beyond the mean,False,all,primary-workhorse,True,signal-level IAAFT; pseudo-pair/time-shift before dyad-specific interpretation,primary synchrony-existence descriptor in v1,"sensitive to window size, smoothing, and isolated high-correlation periods",True
fraction_above_threshold,threshold-state occupancy,proportion of finite WCC values above threshold,occupancy,"how much of the interaction is spent in an above-threshold state, regardless of episode ordering",False,"all, with threshold justification",exploratory-secondary,False,descriptive plus design controls; not in primary FDR in v1,interpretable coverage of above-threshold synchrony; report alongside mean/peak and threshold metadata,threshold dependence and redundancy with mean/peak synchrony,True
dwell_time,threshold-state sequence,run lengths of consecutive above-threshold WCC states,structure / stability,whether synchrony is sustained in long episodes rather than brief bursts,True,"continuous or event blocks, with threshold justification",primary-structure,True,WCC-level IAAFT null (Family L1) plus design controls; enters the primary group-condition FDR family,confirmatory structure descriptor; describe sustained synchrony episodes after existence/design audits,threshold dependence; undefined or unstable when few episodes exist,True
switching_rate,threshold-state sequence,transitions between below/above-threshold WCC states,structure / flexibility,"how often dyads enter and exit synchrony states, beyond total occupancy",True,continuous or long event blocks,primary-structure,True,WCC-level IAAFT null (Family L1) plus design controls; enters the primary group-condition FDR family,confirmatory structure descriptor; describe intermittent versus stable coordination patterns,"sensitive to jitter, smoothing, hysteresis, and WCC overlap",True
bimodality_coefficient,WCC distribution shape,skewness and kurtosis of finite WCC values,distribution-shape / state separability,whether WCC values resemble two high/low states rather than one broad distribution,False,"all, if enough WCC samples",exploratory,False,signal-level IAAFT if tested; currently report cautiously,diagnostic for two-state high/low synchrony distributions,sample-size sensitivity and weak direct psychological construct validity,True
synchrony_entropy,WCC distribution shape,histogram entropy of finite WCC values,distribution diversity,"diversity of WCC values visited, not their temporal order",False,"all, if enough WCC samples",exploratory,False,descriptive; check collinearity with mean/variance,diagnostic for spread/diversity of synchrony states,often collinear with mean/variance and difficult to interpret psychologically,True
onset_latency,event-anchored threshold sequence,first sustained threshold crossing after event/condition onset,event timing,when synchrony first emerges relative to a meaningful external anchor,True,event only,exploratory-event-only,False,"event-mode sensitivity; peak-timing null under development (block bootstrap), deferred to v2",time to first sustained synchrony after a meaningful event onset,requires a true baseline and event anchor; not meaningful in unanchored interaction,True
rise_time,event morphology,25–75% rise segment before dominant WCC peak,event morphology / build-up,shape of build-up toward a dominant synchrony peak,True,event / single-peak morphology only,exploratory-event-only,False,"event-mode sensitivity; peak-timing null under development (block bootstrap), deferred to v2",build-up speed for SCR-like single-peak synchrony responses,imports a single-peak SCR assumption into non-SCR synchrony traces,True
recovery_time,event morphology,time from dominant WCC peak to half-recovery level,event morphology / decay,whether a dominant synchrony peak dissolves quickly or slowly,True,event / single-peak morphology only,exploratory-event-only,False,"event-mode sensitivity; peak-timing null under development (block bootstrap), deferred to v2",decay time after a dominant synchrony peak,on oscillatory traces may measure a half-cycle rather than recovery,True
first_peak_time,morphology-agnostic peak timing,first prominent local WCC peak above threshold,timing,first prominent synchrony burst without requiring baseline→rise→recovery morphology,True,"event or long continuous, with peak-definition caveat",exploratory-secondary,False,descriptive plus design controls; not in primary FDR in v1; report definedness rate,morphology-agnostic timing descriptor; carries information beyond mean/peak (artifact audit max|r|=0.24) but defined in ~0.39-1.00 of traces depending on dataset,depends on prominence threshold and may be undefined in sustained or short traces,True
inter_peak_cv,morphology-agnostic peak sequence,coefficient of variation of inter-peak intervals,rhythm / metastability,regular versus irregular recurrence of synchrony bursts,True,long continuous traces with >= 3 prominent peaks,exploratory-secondary,False,descriptive plus design controls; not in primary FDR in v1; report definedness rate,descriptor of rhythmic/metastable synchrony recurrence; carries information beyond mean/peak (artifact audit max|r|=0.42) but defined in only ~0.05-1.00 of traces depending on trace length,undefined with too few peaks; defined in only 5% of short Gordon traces,True
